snapshot_date,release_tag,asset_name,download_count
2026-09-07,v7.0.13,AddaxAI-Setup.exe,156
2026-09-07,v7.0.12,AddaxAI-amd64.deb,2
2026-09-07,v7.0.12,AddaxAI-arm64.dmg,13
2026-09-07,v7.0.12,AddaxAI-Setup.exe,116
2026-09-07,v7.0.11,AddaxAI-amd64.deb,5
2026-09-07,v7.0.11,AddaxAI-arm64.dmg,15
2026-09-07,v7.0.11,AddaxAI-Setup.exe,80
2026-09-07,v7.0.10,AddaxAI-amd64.deb,6
2026-09-07,v7.0.10,AddaxAI-arm64.dmg,10
2026-09-07,v7.0.10,AddaxAI-Setup.exe,83
2026-09-07,v7.0.9,AddaxAI-amd64.deb,6
2026-09-07,v7.0.9,AddaxAI-arm64.dmg,23
2026-09-07,v7.0.9,AddaxAI-Setup.exe,121
2026-09-07,v7.0.8,AddaxAI-amd64.deb,13
2026-09-07,v7.0.8,AddaxAI-arm64.dmg,27
2026-09-07,v7.0.8,AddaxAI-Setup.exe,165
2026-09-07,v7.0.7,AddaxAI-amd64.deb,2
2026-09-07,v7.0.7,AddaxAI-arm64.dmg,6
2026-09-07,v7.0.7,AddaxAI-Setup.exe,21
2026-09-07,v7.0.6,AddaxAI-amd64.deb,0
2026-09-07,v7.0.6,AddaxAI-arm64.dmg,1
2026-09-07,v7.0.6,AddaxAI-Setup.exe,15
2026-09-07,v7.0.5,AddaxAI-amd64.deb,6
2026-09-07,v7.0.5,AddaxAI-arm64.dmg,29
2026-09-07,v7.0.5,AddaxAI-Setup.exe,151
2026-09-07,v7.0.4,AddaxAI-amd64.deb,4
2026-09-07,v7.0.4,AddaxAI-arm64.dmg,9
2026-09-07,v7.0.4,AddaxAI-Setup.exe,73
2026-09-07,v7.0.3,AddaxAI-amd64.deb,13
2026-09-07,v7.0.3,AddaxAI-arm64.dmg,39
2026-09-07,v7.0.3,AddaxAI-Setup.exe,115
2026-09-07,v7.0.2,AddaxAI-amd64.deb,10
2026-09-07,v7.0.2,AddaxAI-arm64.dmg,29
2026-09-07,v7.0.2,AddaxAI-Setup.exe,129
2026-09-14,v7.7.0,AddaxAI-amd64.deb,41
2026-09-14,v7.7.0,AddaxAI-arm64.dmg,67
2026-09-14,v7.7.0,AddaxAI-Setup.exe,352
2026-09-14,v7.6.0,AddaxAI-amd64.deb,15
2026-09-14,v7.6.0,AddaxAI-arm64.dmg,33
2026-09-14,v7.6.0,AddaxAI-Setup.exe,143
2026-09-14,v7.5.0,AddaxAI-amd64.deb,2
2026-09-14,v7.5.0,AddaxAI-arm64.dmg,3
2026-09-14,v7.5.0,AddaxAI-Setup.exe,9
2026-09-14,v7.4.0,AddaxAI-amd64.deb,21
2026-09-14,v7.4.0,AddaxAI-arm64.dmg,56
2026-09-14,v7.4.0,AddaxAI-Setup.exe,276
2026-09-14,v7.3.0,AddaxAI-amd64.deb,7
2026-09-14,v7.3.0,AddaxAI-arm64.dmg,14
2026-09-14,v7.3.0,AddaxAI-Setup.exe,85
2026-09-14,v7.2.1,AddaxAI-amd64.deb,2
2026-09-14,v7.2.1,AddaxAI-arm64.dmg,17
2026-09-14,v7.2.1,AddaxAI-Setup.exe,148
2026-09-14,v7.2.0,AddaxAI-amd64.deb,1
2026-09-14,v7.2.0,AddaxAI-arm64.dmg,3
2026-09-14,v7.2.0,AddaxAI-Setup.exe,41
2026-09-14,v7.1.0,AddaxAI-amd64.deb,11
2026-09-14,v7.1.0,AddaxAI-arm64.dmg,25
2026-09-14,v7.1.0,AddaxAI-Setup.exe,175
2026-09-14,v7.0.13,AddaxAI-amd64.deb,11
2026-09-14,v7.0.13,AddaxAI-arm64.dmg,26
2026-09-14,v7.0.13,AddaxAI-Setup.exe,156
2026-09-14,v7.0.12,AddaxAI-amd64.deb,2
2026-09-14,v7.0.12,AddaxAI-arm64.dmg,13
2026-09-14,v7.0.12,AddaxAI-Setup.exe,116
2026-09-14,v7.0.11,AddaxAI-amd64.deb,5
2026-09-14,v7.0.11,AddaxAI-arm64.dmg,15
2026-09-14,v7.0.11,AddaxAI-Setup.exe,80
2026-09-14,v7.0.10,AddaxAI-amd64.deb,6
2026-09-14,v7.0.10,AddaxAI-arm64.dmg,10
2026-09-14,v7.0.10,AddaxAI-Setup.exe,83
2026-09-14,v7.0.9,AddaxAI-amd64.deb,6
2026-09-14,v7.0.9,AddaxAI-arm64.dmg,23
2026-09-14,v7.0.9,AddaxAI-Setup.exe,121
2026-09-14,v7.0.8,AddaxAI-amd64.deb,13
2026-09-14,v7.0.8,AddaxAI-arm64.dmg,27
2026-09-14,v7.0.8,AddaxAI-Setup.exe,167
2026-09-14,v7.0.7,AddaxAI-amd64.deb,2
2026-09-14,v7.0.7,AddaxAI-arm64.dmg,6
2026-09-14,v7.0.7,AddaxAI-Setup.exe,21
2026-09-14,v7.0.6,AddaxAI-amd64.deb,0
2026-09-14,v7.0.6,AddaxAI-arm64.dmg,1
2026-09-14,v7.0.6,AddaxAI-Setup.exe,15
2026-09-14,v7.0.5,AddaxAI-amd64.deb,6
2026-09-14,v7.0.5,AddaxAI-arm64.dmg,29
2026-09-14,v7.0.5,AddaxAI-Setup.exe,151
2026-09-14,v7.0.4,AddaxAI-amd64.deb,4
2026-09-14,v7.0.4,AddaxAI-arm64.dmg,9
2026-09-14,v7.0.4,AddaxAI-Setup.exe,73
2026-09-14,v7.0.3,AddaxAI-amd64.deb,13
2026-09-14,v7.0.3,AddaxAI-arm64.dmg,39
2026-09-14,v7.0.3,AddaxAI-Setup.exe,115
